Year,Name,Sex,Count
1980,Rory,F,28
1981,Rory,F,26
1982,Rory,F,42
1983,Rory,F,40
1984,Rory,F,38
1985,Rory,F,39
1986,Rory,F,32
1987,Rory,F,27
1988,Rory,F,34
1989,Rory,F,39
1990,Rory,F,31
1991,Rory,F,31
1992,Rory,F,29
1993,Rory,F,24
1994,Rory,F,35
1995,Rory,F,30
1996,Rory,F,40
1997,Rory,F,45
1998,Rory,F,53
1999,Rory,F,59
2000,Rory,F,85
2001,Rory,F,142
2002,Rory,F,187
2003,Rory,F,234
2004,Rory,F,201
2005,Rory,F,198
2006,Rory,F,231
2007,Rory,F,245
2008,Rory,F,275
2009,Rory,F,287
2010,Rory,F,245
2011,Rory,F,288
2012,Rory,F,248
2013,Rory,F,285
2014,Rory,F,330
2015,Rory,F,418
2016,Rory,F,470
2017,Rory,F,534
2018,Rory,F,530
2019,Rory,F,675
2020,Rory,F,674
2021,Rory,F,789
2022,Rory,F,956
2023,Rory,F,1005
2001,Lorelai,F,20
2002,Lorelai,F,68
2003,Lorelai,F,87
2004,Lorelai,F,99
2005,Lorelai,F,187
2006,Lorelai,F,262
2007,Lorelai,F,321
2008,Lorelai,F,312
2009,Lorelai,F,363
2010,Lorelai,F,371
2011,Lorelai,F,340
2012,Lorelai,F,378
2013,Lorelai,F,338
2014,Lorelai,F,338
2015,Lorelai,F,439
2016,Lorelai,F,479
2017,Lorelai,F,567
2018,Lorelai,F,541
2019,Lorelai,F,547
2020,Lorelai,F,574
2021,Lorelai,F,589
2022,Lorelai,F,654
2023,Lorelai,F,650
2001,Lorelai,F,20
2002,Lorelai,F,68
2003,Lorelai,F,87
2004,Lorelai,F,99
2005,Lorelai,F,187
2006,Lorelai,F,262
2007,Lorelai,F,321
2008,Lorelai,F,312
2009,Lorelai,F,363
2010,Lorelai,F,371
2011,Lorelai,F,340
2012,Lorelai,F,378
2013,Lorelai,F,338
2014,Lorelai,F,338
2015,Lorelai,F,439
2016,Lorelai,F,479
2017,Lorelai,F,567
2018,Lorelai,F,541
2019,Lorelai,F,547
2020,Lorelai,F,574
2021,Lorelai,F,589
2022,Lorelai,F,654
2023,Lorelai,F,650
1980,Tia,F,1114
1981,Tia,F,1010
1982,Tia,F,1182
1983,Tia,F,913
1984,Tia,F,788
1985,Tia,F,781
1986,Tia,F,678
1987,Tia,F,722
1988,Tia,F,675
1989,Tia,F,717
1990,Tia,F,907
1991,Tia,F,1069
1992,Tia,F,964
1993,Tia,F,952
1994,Tia,F,922
1995,Tia,F,1015
1996,Tia,F,1066
1997,Tia,F,984
1998,Tia,F,957
1999,Tia,F,867
2000,Tia,F,701
2001,Tia,F,674
2002,Tia,F,667
2003,Tia,F,612
2004,Tia,F,576
2005,Tia,F,521
2006,Tia,F,484
2007,Tia,F,395
2008,Tia,F,318
2009,Tia,F,281
2010,Tia,F,257
2011,Tia,F,288
2012,Tia,F,265
2013,Tia,F,244
2014,Tia,F,196
2015,Tia,F,214
2016,Tia,F,168
2017,Tia,F,187
2018,Tia,F,157
2019,Tia,F,160
2020,Tia,F,161
2021,Tia,F,132
2022,Tia,F,112
2023,Tia,F,136
1980,Tamera,F,175
1981,Tamera,F,172
1982,Tamera,F,156
1983,Tamera,F,151
1984,Tamera,F,138
1985,Tamera,F,138
1986,Tamera,F,145
1987,Tamera,F,117
1988,Tamera,F,95
1989,Tamera,F,74
1990,Tamera,F,82
1991,Tamera,F,86
1992,Tamera,F,62
1993,Tamera,F,67
1994,Tamera,F,179
1995,Tamera,F,270
1996,Tamera,F,286
1997,Tamera,F,252
1998,Tamera,F,260
1999,Tamera,F,232
2000,Tamera,F,170
2001,Tamera,F,122
2002,Tamera,F,133
2003,Tamera,F,127
2004,Tamera,F,98
2005,Tamera,F,102
2006,Tamera,F,83
2007,Tamera,F,89
2008,Tamera,F,64
2009,Tamera,F,52
2010,Tamera,F,66
2011,Tamera,F,56
2012,Tamera,F,69
2013,Tamera,F,81
2014,Tamera,F,61
2015,Tamera,F,47
2016,Tamera,F,57
2017,Tamera,F,31
2018,Tamera,F,34
2019,Tamera,F,37
2020,Tamera,F,20
2021,Tamera,F,22
2022,Tamera,F,20
2023,Tamera,F,25
1982,Cagney,F,5
1983,Cagney,F,11
1984,Cagney,F,14
1985,Cagney,F,31
1986,Cagney,F,37
1987,Cagney,F,19
1988,Cagney,F,9
1990,Cagney,F,6
1991,Cagney,F,5
1992,Cagney,F,8
1993,Cagney,F,5
1996,Cagney,F,6
1997,Cagney,F,7
1998,Cagney,F,7
2000,Cagney,F,6
2004,Cagney,F,5
2009,Cagney,F,5
1980,Lacey,F,897
1981,Lacey,F,1369
1982,Lacey,F,2382
1983,Lacey,F,2383
1984,Lacey,F,2399
1985,Lacey,F,2359
1986,Lacey,F,2267
1987,Lacey,F,2399
1988,Lacey,F,2244
1989,Lacey,F,2076
1990,Lacey,F,2047
1991,Lacey,F,2071
1992,Lacey,F,1754
1993,Lacey,F,1522
1994,Lacey,F,1398
1995,Lacey,F,1209
1996,Lacey,F,1053
1997,Lacey,F,989
1998,Lacey,F,941
1999,Lacey,F,867
2000,Lacey,F,793
2001,Lacey,F,693
2002,Lacey,F,602
2003,Lacey,F,812
2004,Lacey,F,714
2005,Lacey,F,696
2006,Lacey,F,712
2007,Lacey,F,839
2008,Lacey,F,795
2009,Lacey,F,740
2010,Lacey,F,705
2011,Lacey,F,707
2012,Lacey,F,622
2013,Lacey,F,657
2014,Lacey,F,654
2015,Lacey,F,674
2016,Lacey,F,637
2017,Lacey,F,502
2018,Lacey,F,457
2019,Lacey,F,444
2020,Lacey,F,391
2021,Lacey,F,346
2022,Lacey,F,316
2023,Lacey,F,369
